time,x,y,z,abs avg
0.693,0.203,-0.008,0.971,0.394
0.693,0.204,-0.006,0.980,0.396667
0.693,0.202,0.008,0.957,0.389
0.694,0.191,0.001,0.975,0.389
0.704,0.196,0.002,0.962,0.386667
0.704,0.199,0.006,0.962,0.389
0.705,0.189,0.017,0.962,0.389333
0.705,0.192,0.024,0.955,0.390333
0.705,0.192,0.026,0.944,0.387333
0.705,0.186,0.022,0.948,0.385333
0.709,0.188,0.025,0.947,0.386667
0.719,0.190,0.025,0.946,0.387
0.720,0.188,0.032,0.949,0.389667
0.720,0.186,0.035,0.934,0.385
0.720,0.191,0.034,0.945,0.39
0.720,0.192,0.031,0.950,0.391
0.723,0.197,0.035,0.938,0.39
0.726,0.194,0.033,0.947,0.391333
0.729,0.200,0.034,0.944,0.392667
0.730,0.207,0.029,0.939,0.391667
0.736,0.200,0.023,0.952,0.391667
0.736,0.204,0.020,0.948,0.390667
0.738,0.206,0.016,0.949,0.390333
0.741,0.205,0.018,0.960,0.394333
0.743,0.207,0.015,0.961,0.394333
0.745,0.206,0.011,0.967,0.394667
0.748,0.209,0.010,0.971,0.396667
0.750,0.212,0.017,0.966,0.398333
0.752,0.212,0.018,0.970,0.4
0.755,0.211,0.022,0.975,0.402667
0.757,0.217,0.024,0.970,0.403667
0.760,0.215,0.021,0.972,0.402667
0.761,0.215,0.019,0.975,0.403
0.764,0.209,0.018,0.979,0.402
0.766,0.211,0.020,0.982,0.404333
0.769,0.215,0.019,0.980,0.404667
0.771,0.214,0.018,0.970,0.400667
0.774,0.215,0.017,0.969,0.400333
0.777,0.216,0.018,0.969,0.401
0.779,0.216,0.025,0.961,0.400667
0.782,0.214,0.022,0.964,0.4
0.784,0.213,0.020,0.960,0.397667
0.787,0.209,0.021,0.952,0.394
0.789,0.210,0.016,0.952,0.392667
0.800,0.211,0.013,0.949,0.391
0.800,0.207,0.013,0.948,0.389333
0.800,0.206,0.015,0.947,0.389333
0.800,0.206,0.015,0.941,0.387333
0.801,0.204,0.025,0.942,0.390333
0.804,0.207,0.031,0.941,0.393
0.806,0.207,0.036,0.947,0.396667
0.810,0.203,0.040,0.950,0.397667
0.811,0.199,0.046,0.946,0.397
0.814,0.203,0.052,0.952,0.402333
0.819,0.203,0.058,0.950,0.403667
0.819,0.203,0.063,0.954,0.406667
0.821,0.200,0.074,0.954,0.409333
0.823,0.199,0.075,0.958,0.410667
0.826,0.201,0.080,0.961,0.414
0.828,0.201,0.083,0.955,0.413
0.831,0.196,0.076,0.962,0.411333
0.833,0.193,0.076,0.966,0.411667
0.836,0.197,0.080,0.968,0.415
0.839,0.200,0.064,0.960,0.408
0.841,0.191,0.044,0.962,0.399
0.843,0.202,0.049,0.964,0.405
0.846,0.201,0.066,0.958,0.408333
0.848,0.193,0.076,0.968,0.412333
0.851,0.201,0.094,0.963,0.419333
0.853,0.211,0.107,0.959,0.425667
0.856,0.198,0.108,0.966,0.424
0.858,0.193,0.091,0.966,0.416667
0.862,0.193,0.068,0.965,0.408667
0.864,0.191,0.050,0.959,0.4
0.865,0.185,0.042,0.959,0.395333
0.868,0.173,0.043,0.966,0.394
0.870,0.174,0.048,0.970,0.397333
0.873,0.183,0.061,0.961,0.401667
0.879,0.174,0.061,0.960,0.398333
0.879,0.167,0.057,0.968,0.397333
0.881,0.171,0.054,0.967,0.397333
0.883,0.170,0.049,0.969,0.396
0.885,0.169,0.038,0.971,0.392667
0.887,0.172,0.039,0.964,0.391667
0.890,0.172,0.051,0.969,0.397333
0.893,0.174,0.064,0.964,0.400667
0.895,0.183,0.074,0.959,0.405333
0.898,0.188,0.083,0.960,0.410333
0.900,0.185,0.089,0.957,0.410333
0.902,0.194,0.088,0.955,0.412333
0.905,0.184,0.077,0.959,0.406667
0.908,0.179,0.058,0.966,0.401
0.910,0.178,0.049,0.970,0.399
0.913,0.167,0.050,0.983,0.4
0.915,0.162,0.058,0.984,0.401333
0.917,0.163,0.072,0.979,0.404667
0.920,0.160,0.067,0.979,0.402
0.937,0.152,0.052,0.983,0.395667
0.937,0.149,0.032,0.975,0.385333
0.938,0.144,0.015,0.979,0.379333
0.938,0.148,0.006,0.980,0.378
0.938,0.147,-0.003,0.971,0.373667
0.938,0.133,-0.015,0.982,0.376667
0.939,0.138,-0.019,0.979,0.378667
0.939,0.151,-0.018,0.970,0.379667
0.942,0.142,-0.012,0.973,0.375667
0.944,0.142,-0.016,0.973,0.377
0.946,0.152,-0.011,0.964,0.375667
0.948,0.150,-0.007,0.965,0.374
0.951,0.148,-0.003,0.965,0.372
0.953,0.152,-0.008,0.961,0.373667
0.956,0.149,-0.007,0.965,0.373667
0.959,0.148,-0.003,0.960,0.370333
0.961,0.152,0.000,0.963,0.371667
0.964,0.144,0.007,0.964,0.371667
0.967,0.147,0.006,0.958,0.370333
0.969,0.139,0.000,0.964,0.367667
0.972,0.136,0.000,0.966,0.367333
0.973,0.141,-0.000,0.958,0.366333
0.977,0.134,0.007,0.962,0.367667
0.979,0.132,0.007,0.958,0.365667
0.981,0.133,0.010,0.947,0.363333
0.983,0.134,0.011,0.964,0.369667
0.986,0.134,0.019,0.961,0.371333
0.988,0.136,0.018,0.964,0.372667
0.991,0.134,0.024,0.969,0.375667
0.995,0.136,0.028,0.968,0.377333
0.996,0.140,0.028,0.974,0.380667
0.999,0.141,0.025,0.976,0.380667
1.001,0.141,0.028,0.981,0.383333
1.004,0.150,0.026,0.987,0.387667
1.005,0.153,0.026,0.995,0.391333
1.007,0.158,0.032,0.996,0.395333
1.010,0.157,0.033,0.997,0.395667
1.012,0.165,0.033,0.997,0.398333
1.015,0.168,0.041,1.001,0.403333
1.017,0.173,0.044,1.002,0.406333
1.020,0.173,0.049,1.001,0.407667
1.022,0.173,0.049,0.996,0.406
1.025,0.167,0.056,1.005,0.409333
1.028,0.166,0.055,0.992,0.404333
1.030,0.166,0.051,0.989,0.402
1.032,0.164,0.046,0.984,0.398
1.036,0.164,0.037,0.973,0.391333
1.037,0.163,0.031,0.966,0.386667
1.040,0.161,0.026,0.958,0.381667
1.042,0.160,0.024,0.940,0.374667
1.045,0.157,0.025,0.938,0.373333
1.047,0.158,0.024,0.934,0.372
1.050,0.159,0.021,0.926,0.368667
1.052,0.164,0.019,0.920,0.367667
1.055,0.159,0.020,0.924,0.367667
1.057,0.164,0.022,0.929,0.371667
1.060,0.157,0.023,0.936,0.372
1.063,0.157,0.021,0.945,0.374333
1.064,0.160,0.018,0.945,0.374333
1.067,0.157,0.022,0.954,0.377667
1.070,0.152,0.026,0.958,0.378667
1.072,0.164,0.019,0.958,0.380333
1.080,0.174,0.019,0.962,0.385
1.081,0.173,0.020,0.984,0.392333
1.081,0.187,0.012,0.985,0.394667
1.085,0.195,0.023,0.961,0.393
1.085,0.201,0.029,0.974,0.401333
1.088,0.206,0.038,0.957,0.400333
1.089,0.216,0.036,0.955,0.402333
1.094,0.220,0.035,0.950,0.401667
1.095,0.224,0.037,0.944,0.401667
1.096,0.221,0.036,0.948,0.401667
1.099,0.227,0.038,0.940,0.401667
1.101,0.230,0.037,0.938,0.401667
1.104,0.223,0.038,0.946,0.402333
1.106,0.219,0.051,0.941,0.403667
1.109,0.217,0.054,0.951,0.407333
1.112,0.217,0.054,0.946,0.405667
1.114,0.223,0.058,0.956,0.412333
1.116,0.229,0.064,0.948,0.413667
1.118,0.224,0.074,0.963,0.420333
1.121,0.232,0.090,0.962,0.428
1.123,0.247,0.105,0.952,0.434667
1.126,0.241,0.123,0.964,0.442667
1.128,0.255,0.122,0.960,0.445667
1.131,0.262,0.128,0.940,0.443333
1.133,0.261,0.131,0.948,0.446667
1.136,0.272,0.146,0.935,0.451
1.138,0.316,0.147,0.931,0.464667
1.141,0.299,0.137,0.946,0.460667
1.146,0.335,0.136,0.931,0.467333
1.146,0.326,0.128,0.923,0.459
1.148,0.337,0.124,0.914,0.458333
1.151,0.336,0.101,0.918,0.451667
1.153,0.314,0.103,0.925,0.447333
1.155,0.334,0.116,0.917,0.455667
1.160,0.354,0.107,0.893,0.451333
1.160,0.338,0.103,0.905,0.448667
1.163,0.334,0.109,0.899,0.447333
1.165,0.321,0.108,0.896,0.441667
1.179,0.343,0.084,0.871,0.432667
1.179,0.329,0.077,0.902,0.436
1.180,0.326,0.049,0.897,0.424
1.180,0.336,0.044,0.906,0.428667
1.180,0.324,0.072,0.906,0.434
1.180,0.327,0.054,0.919,0.433333
1.183,0.317,0.042,0.915,0.424667
1.186,0.345,0.010,0.917,0.424
1.187,0.350,0.046,0.910,0.435333
1.191,0.351,0.034,0.941,0.442
1.197,0.382,0.038,0.898,0.439333
1.197,0.393,0.017,0.906,0.438667
1.197,0.390,0.038,0.895,0.441
1.199,0.414,0.022,0.911,0.449
1.202,0.410,0.026,0.890,0.442
1.204,0.430,-0.030,0.939,0.466333
1.207,0.423,-0.022,0.913,0.452667
1.211,0.420,-0.024,0.963,0.469
1.214,0.411,0.042,0.946,0.466333
1.214,0.441,0.031,0.958,0.476667
1.224,0.410,0.045,0.988,0.481
1.224,0.402,0.056,1.001,0.486333
1.224,0.443,0.051,0.934,0.476
1.224,0.455,-0.028,0.953,0.478667
1.227,0.419,-0.043,0.980,0.480667
1.229,0.403,-0.041,0.972,0.472
1.235,0.401,-0.045,0.943,0.463
1.235,0.362,-0.032,0.954,0.449333
1.239,0.355,-0.053,0.918,0.442
1.240,0.294,-0.064,0.955,0.437667
1.243,0.287,-0.032,0.953,0.424
1.243,0.337,0.020,0.864,0.407
1.246,0.228,0.124,0.908,0.42
1.249,0.228,0.093,0.945,0.422
1.251,0.339,-0.024,0.817,0.393333
1.254,0.271,0.008,0.831,0.37
1.256,0.259,0.027,0.893,0.393
1.258,0.283,0.008,0.802,0.364333
1.261,0.325,-0.032,0.853,0.403333
1.263,0.346,-0.006,0.794,0.382
1.265,0.337,0.037,0.804,0.392667
1.267,0.316,0.031,0.867,0.404667
1.271,0.336,0.062,0.810,0.402667
1.273,0.385,-0.001,0.872,0.419333
1.276,0.391,0.004,0.829,0.408
1.278,0.322,0.059,0.926,0.435667
1.281,0.346,0.055,0.901,0.434
1.283,0.409,-0.020,0.907,0.445333
1.285,0.377,0.006,0.967,0.45
1.288,0.409,0.042,0.899,0.45
1.294,0.337,0.055,1.020,0.470667
1.294,0.360,0.066,0.976,0.467333
1.296,0.398,0.058,0.964,0.473333
1.298,0.361,0.086,0.981,0.476
1.300,0.364,0.101,0.980,0.481667
1.303,0.311,0.127,1.022,0.486667
1.305,0.339,0.123,0.971,0.477667
1.308,0.332,0.116,0.980,0.476
1.310,0.326,0.120,0.949,0.465
1.313,0.307,0.115,0.976,0.466
1.315,0.288,0.147,0.944,0.459667
1.318,0.326,0.152,0.911,0.463
1.320,0.306,0.168,0.906,0.46
1.323,0.314,0.169,0.883,0.455333
1.325,0.309,0.185,0.877,0.457
1.329,0.313,0.203,0.856,0.457333
1.330,0.338,0.185,0.843,0.455333
1.333,0.319,0.172,0.844,0.445
1.335,0.329,0.163,0.863,0.451667
1.337,0.324,0.188,0.830,0.447333
1.344,0.307,0.182,0.859,0.449333
1.345,0.319,0.177,0.857,0.451
1.345,0.325,0.188,0.853,0.455333
1.347,0.309,0.205,0.891,0.468333
1.349,0.301,0.196,0.868,0.455
1.352,0.289,0.177,0.921,0.462333
1.355,0.311,0.165,0.883,0.453
1.359,0.297,0.179,0.887,0.454333
1.360,0.268,0.192,0.926,0.462
