time,x,y,z,gforce
0.488,0.196,-0.087,0.964,0.987
0.490,0.196,-0.090,0.964,0.988
0.493,0.199,-0.091,0.962,0.986
0.495,0.197,-0.092,0.966,0.990
0.506,0.196,-0.086,0.966,0.989
0.506,0.194,-0.091,0.966,0.989
0.506,0.191,-0.087,0.969,0.991
0.506,0.188,-0.083,0.970,0.991
0.507,0.181,-0.078,0.970,0.989
0.510,0.178,-0.074,0.970,0.989
0.512,0.180,-0.072,0.969,0.988
0.516,0.175,-0.074,0.970,0.988
0.519,0.174,-0.074,0.969,0.987
0.520,0.176,-0.071,0.961,0.980
0.523,0.179,-0.066,0.964,0.982
0.525,0.179,-0.065,0.964,0.982
0.528,0.179,-0.058,0.959,0.977
0.530,0.181,-0.058,0.955,0.973
0.537,0.181,-0.050,0.961,0.979
0.537,0.182,-0.046,0.955,0.973
0.537,0.179,-0.045,0.954,0.972
0.539,0.184,-0.040,0.955,0.974
0.542,0.181,-0.039,0.957,0.975
0.544,0.181,-0.039,0.963,0.980
0.546,0.181,-0.039,0.963,0.980
0.549,0.179,-0.036,0.969,0.986
0.551,0.176,-0.034,0.969,0.986
0.554,0.178,-0.031,0.977,0.994
0.557,0.173,-0.030,0.974,0.989
0.560,0.171,-0.028,0.973,0.988
0.562,0.169,-0.026,0.977,0.992
0.565,0.177,-0.023,0.979,0.995
0.568,0.172,-0.019,0.974,0.989
0.569,0.171,-0.014,0.972,0.988
0.572,0.178,-0.013,0.966,0.982
0.574,0.175,-0.013,0.971,0.987
0.577,0.180,-0.011,0.964,0.980
0.579,0.181,-0.009,0.957,0.974
0.582,0.183,-0.003,0.956,0.973
0.585,0.183,-0.002,0.954,0.972
0.587,0.183,-0.001,0.950,0.967
0.589,0.186,0.002,0.952,0.970
0.592,0.187,0.001,0.955,0.973
0.594,0.179,0.005,0.958,0.974
0.597,0.177,0.005,0.956,0.972
0.599,0.181,0.008,0.961,0.978
0.602,0.172,0.010,0.961,0.977
0.604,0.177,0.011,0.963,0.979
0.607,0.172,0.013,0.961,0.977
0.610,0.172,0.015,0.964,0.979
