time,x,y,z,0
0.979,0.132,0.007,0.958,0.006
0.981,0.133,0.010,0.947,0.015
0.983,0.134,0.011,0.964,0.019
0.986,0.134,0.019,0.961,0.011
0.988,0.136,0.018,0.964,0.006
0.991,0.134,0.024,0.969,0.013
0.995,0.136,0.028,0.968,0.007
0.996,0.140,0.028,0.974,0.01
0.999,0.141,0.025,0.976,0.006
1.001,0.141,0.028,0.981,0.008
1.004,0.150,0.026,0.987,0.017
1.005,0.153,0.026,0.995,0.011
1.007,0.158,0.032,0.996,0.012
1.010,0.157,0.033,0.997,0.003
1.012,0.165,0.033,0.997,0.008
1.015,0.168,0.041,1.001,0.015
1.017,0.173,0.044,1.002,0.009
1.020,0.173,0.049,1.001,0.006
1.022,0.173,0.049,0.996,0.005
1.025,0.167,0.056,1.005,0.022
1.028,0.166,0.055,0.992,0.015
1.030,0.166,0.051,0.989,0.007
1.032,0.164,0.046,0.984,0.012
1.036,0.164,0.037,0.973,0.02
1.037,0.163,0.031,0.966,0.014
1.040,0.161,0.026,0.958,0.015
1.042,0.160,0.024,0.940,0.021
1.045,0.157,0.025,0.938,0.006
1.047,0.158,0.024,0.934,0.006
1.050,0.159,0.021,0.926,0.012
1.052,0.164,0.019,0.920,0.013
1.055,0.159,0.020,0.924,0.01
1.057,0.164,0.022,0.929,0.012
1.060,0.157,0.023,0.936,0.015
1.063,0.157,0.021,0.945,0.011
1.064,0.160,0.018,0.945,0.006
1.067,0.157,0.022,0.954,0.016
1.070,0.152,0.026,0.958,0.013
1.072,0.164,0.019,0.958,0.019
1.080,0.174,0.019,0.962,0.014
1.081,0.173,0.020,0.984,0.024
1.081,0.187,0.012,0.985,0.023
1.085,0.195,0.023,0.961,0.043
1.085,0.201,0.029,0.974,0.025
1.088,0.206,0.038,0.957,0.031
1.089,0.216,0.036,0.955,0.014
1.094,0.220,0.035,0.950,0.01
1.095,0.224,0.037,0.944,0.012
1.096,0.221,0.036,0.948,0.008
1.099,0.227,0.038,0.940,0.016
1.101,0.230,0.037,0.938,0.006
1.104,0.223,0.038,0.946,0.016
1.106,0.219,0.051,0.941,0.022
1.109,0.217,0.054,0.951,0.015
1.112,0.217,0.054,0.946,0.005
1.114,0.223,0.058,0.956,0.02
1.116,0.229,0.064,0.948,0.02
1.118,0.224,0.074,0.963,0.03
1.121,0.232,0.090,0.962,0.025
1.123,0.247,0.105,0.952,0.04
1.126,0.241,0.123,0.964,0.036
1.128,0.255,0.122,0.960,0.019
1.131,0.262,0.128,0.940,0.033
1.133,0.261,0.131,0.948,0.012
1.136,0.272,0.146,0.935,0.039
1.138,0.316,0.147,0.931,0.049
1.141,0.299,0.137,0.946,0.042
1.146,0.335,0.136,0.931,0.052
1.146,0.326,0.128,0.923,0.025
1.148,0.337,0.124,0.914,0.024
1.151,0.336,0.101,0.918,0.028
1.153,0.314,0.103,0.925,0.031
1.155,0.334,0.116,0.917,0.041
1.160,0.354,0.107,0.893,0.053
1.160,0.338,0.103,0.905,0.032
1.163,0.334,0.109,0.899,0.016
1.165,0.321,0.108,0.896,0.017
1.179,0.343,0.084,0.871,0.071
1.179,0.329,0.077,0.902,0.052
1.180,0.326,0.049,0.897,0.036
1.180,0.336,0.044,0.906,0.024
1.180,0.324,0.072,0.906,0.04
1.180,0.327,0.054,0.919,0.034
1.183,0.317,0.042,0.915,0.026
1.186,0.345,0.010,0.917,0.062
1.187,0.350,0.046,0.910,0.048
1.191,0.351,0.034,0.941,0.044
1.197,0.382,0.038,0.898,0.078
1.197,0.393,0.017,0.906,0.04
1.197,0.390,0.038,0.895,0.035
1.199,0.414,0.022,0.911,0.056
1.202,0.410,0.026,0.890,0.029
1.204,0.430,-0.030,0.939,0.125
1.207,0.423,-0.022,0.913,0.041
1.211,0.420,-0.024,0.963,0.055
1.214,0.411,0.042,0.946,0.092
1.214,0.441,0.031,0.958,0.053
1.224,0.410,0.045,0.988,0.075
1.224,0.402,0.056,1.001,0.032
1.224,0.443,0.051,0.934,0.113
1.224,0.455,-0.028,0.953,0.11
1.227,0.419,-0.043,0.980,0.078
1.229,0.403,-0.041,0.972,0.026
1.235,0.401,-0.045,0.943,0.035
1.235,0.362,-0.032,0.954,0.063
1.239,0.355,-0.053,0.918,0.064
1.240,0.294,-0.064,0.955,0.109
1.243,0.287,-0.032,0.953,0.041
1.243,0.337,0.020,0.864,0.191
1.246,0.228,0.124,0.908,0.257
1.249,0.228,0.093,0.945,0.068
1.251,0.339,-0.024,0.817,0.356
1.254,0.271,0.008,0.831,0.114
1.256,0.259,0.027,0.893,0.093
1.258,0.283,0.008,0.802,0.134
1.261,0.325,-0.032,0.853,0.133
1.263,0.346,-0.006,0.794,0.106
1.265,0.337,0.037,0.804,0.062
1.267,0.316,0.031,0.867,0.09
1.271,0.336,0.062,0.810,0.108
1.273,0.385,-0.001,0.872,0.174
1.276,0.391,0.004,0.829,0.054
1.278,0.322,0.059,0.926,0.221
1.281,0.346,0.055,0.901,0.053
1.283,0.409,-0.020,0.907,0.144
1.285,0.377,0.006,0.967,0.118
1.288,0.409,0.042,0.899,0.136
1.294,0.337,0.055,1.020,0.206
1.294,0.360,0.066,0.976,0.078
1.296,0.398,0.058,0.964,0.058
1.298,0.361,0.086,0.981,0.082
1.300,0.364,0.101,0.980,0.019
1.303,0.311,0.127,1.022,0.121
1.305,0.339,0.123,0.971,0.083
1.308,0.332,0.116,0.980,0.023
1.310,0.326,0.120,0.949,0.041
1.313,0.307,0.115,0.976,0.051
1.315,0.288,0.147,0.944,0.083
1.318,0.326,0.152,0.911,0.076
1.320,0.306,0.168,0.906,0.041
1.323,0.314,0.169,0.883,0.032
1.325,0.309,0.185,0.877,0.027
1.329,0.313,0.203,0.856,0.043
1.330,0.338,0.185,0.843,0.056
1.333,0.319,0.172,0.844,0.033
1.335,0.329,0.163,0.863,0.038
1.337,0.324,0.188,0.830,0.063
1.344,0.307,0.182,0.859,0.052
1.345,0.319,0.177,0.857,0.019
1.345,0.325,0.188,0.853,0.021
1.347,0.309,0.205,0.891,0.071
1.349,0.301,0.196,0.868,0.04
1.352,0.289,0.177,0.921,0.084
1.355,0.311,0.165,0.883,0.072
1.359,0.297,0.179,0.887,0.032
1.360,0.268,0.192,0.926,0.081
1.362,0.276,0.214,0.910,0.046
1.364,0.280,0.230,0.939,0.049
1.367,0.298,0.246,0.913,0.06
1.369,0.298,0.266,0.933,0.04
1.372,0.288,0.280,0.930,0.027
1.377,0.285,0.279,0.950,0.024
1.378,0.304,0.262,0.932,0.054
1.379,0.319,0.245,0.923,0.041
1.382,0.320,0.257,0.945,0.035
1.384,0.300,0.277,0.930,0.055
1.387,0.307,0.274,0.956,0.036
1.388,0.332,0.300,0.902,0.105
1.392,0.330,0.318,0.918,0.036
1.394,0.272,0.355,0.947,0.124
1.396,0.286,0.359,0.943,0.022
1.399,0.311,0.368,0.913,0.064
1.401,0.303,0.355,0.923,0.031
1.403,0.282,0.355,0.929,0.027
1.406,0.253,0.373,0.937,0.055
1.414,0.264,0.370,0.936,0.015
1.414,0.290,0.377,0.889,0.08
1.429,0.286,0.352,0.893,0.033
1.430,0.263,0.348,0.919,0.053
1.430,0.280,0.360,0.892,0.056
1.430,0.287,0.375,0.854,0.06
1.430,0.296,0.351,0.856,0.035
1.431,0.287,0.336,0.849,0.031
1.431,0.276,0.316,0.873,0.055
1.431,0.275,0.314,0.866,0.01
1.435,0.287,0.312,0.857,0.023
1.436,0.278,0.298,0.873,0.039
1.437,0.267,0.279,0.898,0.055
1.442,0.266,0.290,0.894,0.016
1.442,0.274,0.299,0.903,0.026
1.445,0.270,0.310,0.909,0.021
1.448,0.269,0.313,0.920,0.015
1.451,0.264,0.312,0.930,0.016
1.452,0.264,0.314,0.935,0.007
1.456,0.270,0.329,0.934,0.022
1.459,0.264,0.347,0.935,0.025
1.460,0.264,0.369,0.938,0.025
1.462,0.265,0.391,0.933,0.028
1.465,0.271,0.401,0.936,0.019
1.467,0.281,0.405,0.932,0.018
1.470,0.284,0.405,0.935,0.006
1.472,0.282,0.416,0.932,0.016
1.475,0.282,0.414,0.937,0.007
1.477,0.270,0.403,0.941,0.027
1.479,0.269,0.393,0.940,0.012
1.482,0.274,0.393,0.940,0.005
1.484,0.268,0.397,0.945,0.015
1.487,0.266,0.399,0.950,0.009
1.494,0.265,0.400,0.951,0.003
1.494,0.276,0.396,0.948,0.018
1.495,0.270,0.381,0.935,0.034
1.498,0.268,0.357,0.927,0.034
1.499,0.269,0.334,0.932,0.029
1.502,0.266,0.322,0.919,0.028
1.505,0.270,0.312,0.910,0.023
1.506,0.269,0.305,0.909,0.009
1.509,0.264,0.298,0.909,0.012
